ID,TITLE,CATEGORY,PRICE,IMG-HREF,INFO,DETAILS
1,Dibnah Versus Sauron T-shirt,T-Shirts,26,https://images.teemill.com/akisdxwbizkaq3etnazr4ekqjwk7fup41thhippgkmprutzf.png.jpg?w=1080&h=1080&v=2,"""Fred Dibnah knocking down Sauron's Tower""",
2,Abolish Time T-shirt,T-Shirts,23,https://images.teemill.com/yr2xuske9bcorcrerofzzyn2owjrkowmjr7eh5mv8lia0gtm.png.png?w=1080&h=auto,Official T-shirt of Humans Against Chronology.,
3,Justice T-shirt,T-Shirts,26,https://images.teemill.com/khtrndvrbcbyq5sfxrilwyne2qbrsxzo9xdom3vwhdtkrsnm.png.png?w=1080&h=auto,"Your move, creep.",
4,Dwarf Wars T-shirt,T-Shirts,26,https://images.teemill.com/ojvmxz43xkh6ndqbnnv4vsrpxqmtfpt4exglvumxreacy1op.png.png?w=1080&h=auto,You will never find a more wretched hive of smeg and smegheadedness,
5,Techno Sparrow T-shirt,T-Shirts,26,https://images.teemill.com/opvlmuxlle45ls8qlo6r4uswzsvlvq0pb4lr2kcf1k1l7kxr.png.png?w=1080&h=auto,Know your sparrows,
6,Video Monolith T-shirt,T-Shirts,26,https://images.teemill.com/owbtdolvjkulff9atlxlf5wzfjz1c2h3mtn2cgr9cwppn6kh.png.png?w=1080&h=auto,"I am putting myself to the fullest possible use, which is all I think that any Scotch E180 Extra Grade Plus Video Cassette can ever hope to do.",
7,Trapdoor Deadites T-shirt,T-Shirts,26,https://images.teemill.com/zslrampr6bk6s4lwd6qfrpmcwgrf0ckiymqcdu02byfehudc.png.png?w=1080&h=auto,"""The Evil Dead Vs The Trap Door""",
8,Every Dove Deserves Love T-shirt,T-Shirts,26,https://images.teemill.com/kaoxkj5vqpqyesrrf4trshnjiwhfaelw7qxx0kxnmlyjwpkl.png.png?w=1080&h=auto,"Following the relative success of my pro-gull T-shirt, I decided to create a design championing another much maligned and misunderstood bird, the rock dove - more commonly known as the pigeon.",
9,Carry On Raving T-shirt,T-Shirts,26,https://images.teemill.com/inlzhiijprirwfhiipexzjuimryn5zclxv34zhgayhrcyz9b.png.png?w=1080&h=auto,"""Carry On Raving""",
10,80s Halloween T-shirt,T-Shirts,26,https://images.teemill.com/goxcgqc0bcnedwlnoogwbsv7rtpus634hygkist7xxtkgtsw.png.png?w=1080&h=auto,"Elvira, Mistress of the Dark joins Pinhead, Freddy and Chucky for a VHS horror marathon while Jason and Ash see who can carve the best pumpkin using their weapon of choice",
11,T2 Stained Glass T-shirt,T-Shirts,26,https://images.teemill.com/pyiekvensp5ys7sk6u5buzvvip2hxmccxszgjbefu5rwyxat.png.png?w=1080&h=auto,"Terminator 2 in the style of ecclesiastical stained glass

As requested by Kath Oparka",
12,Bat Country Redux T-shirt,T-Shirts,26,https://images.teemill.com/1uaytt4heuuwxyhjnk70pjcggzgjb0m6j4mtei5l0fhbsqj3.jpeg.jpg?w=1080&h=1080&v=2,"""Bert and Ernie take a Fear and Loathing style trip to Las Vegas""",
13,Dad's Army Of Darkness T-shirt,T-Shirts,26,https://images.teemill.com/wfa0w5boutfhvxr7vgrcwbozxlnsglcwfbrdi9dbepvqhswa.png.png?w=1080&h=auto,"""Dad's Army of Darkness""",
14,Chestburster T-shirt,T-Shirts,26,https://images.teemill.com/4gwbd5yonshsjkecwvfgusxx4jylbzqsrebbzvt33zfpyheu.png.png?w=1080&h=auto,"""The chestburster scene from Alien as portrayed by famous TV puppets""",
15,Wu Tang Clangers T-shirt,T-Shirts,26,https://images.teemill.com/mtwvs9ggcs4igwu6qhibrvct4knln90jbfjanwubtlkh7ddt.png.png?w=1080&h=auto,"""The Wu-Tang Clangers""",
16,Bayeux Kicking Out Time T-shirt,T-Shirts,26,https://images.teemill.com/aolk0yjnxdngntjeootolppdo5o5iogiit3cm1tn6b4qnyhv.png.png?w=1080&h=auto,"""Please could you paint a Friday night at pub kicking out time, with all the fights, kebabs, and throwing up in gutters, but in the style of the Bayeux Tapestry?""",
17,The One Who Knocks Twice T-shirt,T-Shirts,26,https://images.teemill.com/qvy1cw7umihy9gcnaabymkotr1rfyk48lxv5qg9xrne9ownd.png.png?w=1080&h=auto,"""In my struggle to get through the daily episode of Postman Pat each morning I have resorted to imagining a dark plot in which Pat is diagnosed with terminal lung cancer and decides to begin cooking up crystal meth in the back of his van""",
